Job Title,Job Info,Position,Employer,City,Province,Skill,Seniority,Work Type,Industry Type,Min_Salary,Max_Salary,Avg_Salary,Skill_List,Education_Level
Senior Business Intelligence Analysts,Senior Business Intelligence Specialist,Data Specialist,Tolko Industries Ltd.,Vernon,BC,"Fabric, Ssis, Sql, Databricks, Azure, Ssrs",Senior,In-Person,Others,79500.0,106000.0,92750.0,"['fabric', 'ssis', 'sql', 'databricks', 'azure', 'ssrs']",Bachelor's
Senior Supply Chain Data Analysts,"Analyst Sr, Strategy & Business Dev.",Analyst,Bombardier,Dorval,QC,Undef,Senior,In-Person,Others,68500.0,87000.0,77750.0,['undef'],Bachelor's
Senior Business Analysts,Teknaform Senior Business Analyst,Business Analyst,Teknaform Inc.,Bolton,ON,Excel,Senior,In-Person,Others,90000.0,110000.0,100000.0,['excel'],Bachelor's
Senior Business Analysts,Senior Business Analyst,Business Analyst,Ivey Business School Foundation,London,ON,Sql,Senior,In-Person,Education,82800.0,103500.0,93150.0,['sql'],Bachelor's
Senior Business Intelligence Analysts,Contact Center Business Analyst,Business Analyst,Global Excel Management,Sherbrooke,QC,"Genesys, Excel",ANY,In-Person,Others,68000.0,88300.0,78150.0,"['genesys', 'excel']",Bachelor's
Business and Marketing Analysts,Investment Reporting Analyst,Analyst,OMERS,Toronto,ON,"Power Bi, Excel, SQL",ANY,In-Person,Others,65000.0,87000.0,76000.0,"['power bi', 'excel', 'sql']",Bachelor's
Senior Supply Chain Data Analysts,"Analyst, Capital Gov & Reporting",Analyst,EPCOR,Edmonton,AB,"Power Bi, Excel",ANY,In-Person,Others,107931.2,128814.4,118372.8,"['power bi', 'excel']",Bachelor's
Business and Marketing Analysts,Marketing Analyst,Analyst,OLIVER Agency - North America,Toronto,ON,"Tableau, Power Bi, Sql, Excel, Vba, Python, R",ANY,In-Person,Others,65000.0,87000.0,76000.0,"['tableau', 'power bi', 'sql', 'excel', 'vba', 'python', 'r']",Bachelor's
Business and Marketing Analysts,"analyst, marketing",Analyst,Wipro Comnet Inc.,Brampton,ON,Database,ANY,In-Person,Others,79040.0,79040.0,79040.0,['database'],Bachelor's
Business and Marketing Analysts,Project Analyst,Analyst,ARYZE Developments Inc.,Victoria,BC,Excel,ANY,In-Person,Construction,68000.0,85000.0,76500.0,['excel'],Bachelor's
Business Systems Analysts,business systems analyst,System Analyst,AIR TRAIN FREIGHT SYSTEMS INC,Mississauga,ON,Undef,ANY,In-Person,Transportation,59072.0,59072.0,59072.0,['undef'],Bachelor's
Financial and Operational Analysts,Pricing & Revenue Management Analyst,Analyst,Flair Airlines Ltd.,Vancouver,BC,Crystal,ANY,In-Person,Others,50000.0,76458.0,63229.0,['crystal'],Bachelor's
Business and Marketing Analysts,Business Analyst,Business Analyst,TC Energie,Calgary,AB,"Power Bi, Power Platform",ANY,In-Person,Others,65000.0,87000.0,76000.0,"['power bi', 'power platform']",Bachelor's
Senior Business Analysts,Marketing Science Analyst,Analyst,Lululemon,Vancouver,BC,"Python, Sql, Power BI, R",ANY,In-Person,Others,105800.0,138800.0,122300.0,"['python', 'sql', 'power bi', 'r']",Bachelor's
Business Systems Analysts,business systems analyst,System Analyst,STAR TECH INFOSYSTEMS LTD.,Calgary,AB,C,ANY,In-Person,Technology,98176.0,98176.0,98176.0,['c'],Bachelor's
Senior Supply Chain Data Analysts,NDT Eddy Current Data Analyst - Project Manager,Manager,"Acuren Inspection, Inc.",Edmonton,AB,Undef,Senior,In-Person,Others,68500.0,87000.0,77750.0,['undef'],Bachelor's
Senior Business Intelligence Analysts,Accounting Analyst and Supervisor,Analyst,Maggas Medical Inc.,North York,ON,Excel,ANY,In-Person,Healthcare,50000.0,70000.0,60000.0,['excel'],Bachelor's
Senior Supply Chain Data Analysts,Sr. Pricing Analyst,Analyst,Collins Aerospace,Oakville,ON,Excel,Senior,In-Person,Aerospace,68500.0,87000.0,77750.0,['excel'],Bachelor's
Business Systems Analysts,Business Systems Analyst,System Analyst,PressReader,Richmond,BC,"Power Platform, Power Bi, Excel, Database",ANY,In-Person,Media,70000.0,85000.0,77500.0,"['power platform', 'power bi', 'excel', 'database']",Bachelor's
Senior Business Intelligence Analysts,"'Senior Manager, Business Intelligence and Reporting, Enterprise Insider Risk Management",Manager,TD Bank,Toronto,ON,"R, C",Senior,In-Person,Finance,68000.0,88300.0,78150.0,"['r', 'c']",Bachelor's
